,beeID,cohort,DOB,jdate_birth,round,colony
0,0,queen,1 july 2000,183,0,c186
0,1,pink,16 june 2018,18167,0,c1
1,2,pink,16 june 2018,18167,0,c1
2,3,pink,16 june 2018,18167,0,c1
3,4,pink,16 june 2018,18167,0,c1
4,5,pink,16 june 2018,18167,0,c1
5,6,pink,16 june 2018,18167,0,c1
6,7,pink,16 june 2018,18167,0,c1
7,8,pink,16 june 2018,18167,0,c1
8,9,pink,16 june 2018,18167,0,c1
9,10,pink,16 june 2018,18167,0,c1
10,11,pink,16 june 2018,18167,0,c1
11,12,pink,16 june 2018,18167,0,c1
12,13,pink,16 june 2018,18167,0,c1
13,14,pink,16 june 2018,18167,0,c1
14,15,pink,16 june 2018,18167,0,c1
15,16,pink,16 june 2018,18167,0,c1
16,17,pink,16 june 2018,18167,0,c1
17,18,pink,16 june 2018,18167,0,c1
18,19,pink,16 june 2018,18167,0,c1
19,20,pink,16 june 2018,18167,0,c1
20,21,pink,16 june 2018,18167,0,c1
21,22,pink,16 june 2018,18167,0,c1
22,23,pink,16 june 2018,18167,0,c1
23,24,pink,16 june 2018,18167,0,c1
24,25,pink,16 june 2018,18167,0,c1
25,26,pink,16 june 2018,18167,0,c1
26,27,pink,16 june 2018,18167,0,c1
27,28,pink,16 june 2018,18167,0,c1
28,29,pink,16 june 2018,18167,0,c1
29,30,pink,16 june 2018,18167,0,c1
30,31,pink,16 june 2018,18167,0,c1
31,32,pink,16 june 2018,18167,0,c1
32,33,pink,16 june 2018,18167,0,c1
33,34,pink,16 june 2018,18167,0,c1
34,35,pink,16 june 2018,18167,0,c1
35,36,pink,16 june 2018,18167,0,c1
36,37,pink,16 june 2018,18167,0,c1
37,38,pink,16 june 2018,18167,0,c1
38,39,pink,16 june 2018,18167,0,c1
39,40,pink,16 june 2018,18167,0,c1
40,41,pink,16 june 2018,18167,0,c1
41,42,pink,16 june 2018,18167,0,c1
42,43,pink,16 june 2018,18167,0,c1
43,44,pink,16 june 2018,18167,0,c1
44,45,pink,16 june 2018,18167,0,c1
45,46,pink,16 june 2018,18167,0,c1
46,47,pink,16 june 2018,18167,0,c1
47,48,pink,16 june 2018,18167,0,c1
48,49,pink,16 june 2018,18167,0,c1
49,50,pink,16 june 2018,18167,0,c1
50,51,pink,16 june 2018,18167,0,c1
51,52,pink,16 june 2018,18167,0,c1
52,53,pink,16 june 2018,18167,0,c1
53,54,pink,16 june 2018,18167,0,c1
54,55,pink,16 june 2018,18167,0,c1
55,56,pink,16 june 2018,18167,0,c1
56,57,pink,16 june 2018,18167,0,c1
57,58,pink,16 june 2018,18167,0,c1
58,59,pink,16 june 2018,18167,0,c1
59,60,pink,16 june 2018,18167,0,c1
60,61,pink,16 june 2018,18167,0,c1
61,62,pink,16 june 2018,18167,0,c1
62,63,pink,16 june 2018,18167,0,c1
63,64,pink,16 june 2018,18167,0,c1
64,65,pink,16 june 2018,18167,0,c1
65,66,pink,16 june 2018,18167,0,c1
66,67,pink,16 june 2018,18167,0,c1
67,68,pink,16 june 2018,18167,0,c1
68,69,pink,16 june 2018,18167,0,c1
69,70,pink,16 june 2018,18167,0,c1
70,71,pink,16 june 2018,18167,0,c1
71,72,pink,16 june 2018,18167,0,c1
72,73,pink,16 june 2018,18167,0,c1
73,74,pink,16 june 2018,18167,0,c1
74,75,pink,16 june 2018,18167,0,c1
75,76,pink,16 june 2018,18167,0,c1
76,77,pink,16 june 2018,18167,0,c1
77,78,pink,16 june 2018,18167,0,c1
78,79,pink,16 june 2018,18167,0,c1
79,80,pink,16 june 2018,18167,0,c1
80,81,pink,16 june 2018,18167,0,c1
81,82,pink,16 june 2018,18167,0,c1
82,83,pink,16 june 2018,18167,0,c1
83,84,pink,16 june 2018,18167,0,c1
84,85,pink,16 june 2018,18167,0,c1
85,86,pink,16 june 2018,18167,0,c1
86,87,pink,16 june 2018,18167,0,c1
87,88,pink,16 june 2018,18167,0,c1
88,89,pink,16 june 2018,18167,0,c1
89,90,pink,16 june 2018,18167,0,c1
90,91,pink,16 june 2018,18167,0,c1
91,92,pink,16 june 2018,18167,0,c1
92,93,pink,16 june 2018,18167,0,c1
93,94,pink,16 june 2018,18167,0,c1
94,95,pink,16 june 2018,18167,0,c1
95,96,pink,16 june 2018,18167,0,c1
96,97,pink,16 june 2018,18167,0,c1
97,98,pink,16 june 2018,18167,0,c1
98,99,pink,16 june 2018,18167,0,c1
99,100,pink,16 june 2018,18167,0,c1
100,101,pink,16 june 2018,18167,0,c1
101,102,pink,16 june 2018,18167,0,c1
102,103,pink,16 june 2018,18167,0,c1
103,104,pink,16 june 2018,18167,0,c1
104,105,pink,16 june 2018,18167,0,c1
105,106,pink,16 june 2018,18167,0,c1
106,107,pink,16 june 2018,18167,0,c1
107,108,pink,16 june 2018,18167,0,c1
108,109,pink,16 june 2018,18167,0,c1
109,110,pink,16 june 2018,18167,0,c1
110,111,pink,16 june 2018,18167,0,c1
111,112,pink,16 june 2018,18167,0,c1
112,113,pink,16 june 2018,18167,0,c1
113,114,pink,16 june 2018,18167,0,c1
114,115,pink,16 june 2018,18167,0,c1
115,116,pink,16 june 2018,18167,0,c1
116,117,pink,16 june 2018,18167,0,c1
117,118,pink,16 june 2018,18167,0,c1
118,119,pink,16 june 2018,18167,0,c1
119,120,pink,16 june 2018,18167,0,c1
120,121,pink,16 june 2018,18167,0,c1
121,122,pink,16 june 2018,18167,0,c1
122,123,pink,16 june 2018,18167,0,c1
123,124,pink,16 june 2018,18167,0,c1
124,125,pink,16 june 2018,18167,0,c1
125,126,pink,16 june 2018,18167,0,c1
126,127,pink,16 june 2018,18167,0,c1
127,128,pink,16 june 2018,18167,0,c1
128,129,pink,16 june 2018,18167,0,c1
129,130,pink,16 june 2018,18167,0,c1
130,131,pink,16 june 2018,18167,0,c1
131,132,pink,16 june 2018,18167,0,c1
132,133,pink,16 june 2018,18167,0,c1
133,134,pink,16 june 2018,18167,0,c1
134,135,pink,16 june 2018,18167,0,c1
135,136,pink,16 june 2018,18167,0,c1
136,137,pink,16 june 2018,18167,0,c1
137,138,pink,16 june 2018,18167,0,c1
138,139,pink,16 june 2018,18167,0,c1
139,140,pink,16 june 2018,18167,0,c1
140,141,pink,16 june 2018,18167,0,c1
141,142,pink,16 june 2018,18167,0,c1
142,143,pink,16 june 2018,18167,0,c1
143,144,pink,16 june 2018,18167,0,c1
144,145,pink,16 june 2018,18167,0,c1
145,146,pink,16 june 2018,18167,0,c1
146,147,pink,16 june 2018,18167,0,c1
147,148,pink,16 june 2018,18167,0,c1
148,149,pink,16 june 2018,18167,0,c1
149,150,pink,16 june 2018,18167,0,c1
150,151,pink,16 june 2018,18167,0,c1
151,152,pink,16 june 2018,18167,0,c1
152,153,pink,16 june 2018,18167,0,c1
153,154,pink,16 june 2018,18167,0,c1
154,155,pink,16 june 2018,18167,0,c1
155,156,pink,16 june 2018,18167,0,c1
156,157,pink,16 june 2018,18167,0,c1
157,158,pink,16 june 2018,18167,0,c1
158,159,pink,16 june 2018,18167,0,c1
159,160,pink,16 june 2018,18167,0,c1
160,161,pink,16 june 2018,18167,0,c1
161,162,pink,16 june 2018,18167,0,c1
162,163,pink,16 june 2018,18167,0,c1
163,164,pink,16 june 2018,18167,0,c1
164,165,pink,16 june 2018,18167,0,c1
165,166,pink,16 june 2018,18167,0,c1
166,167,pink,16 june 2018,18167,0,c1
167,168,pink,16 june 2018,18167,0,c1
